,filename,model_target,downstream_task,perturbation_technique,codemix_lang,perturb_ratio,before_attack_acc,after_attack_acc,delta_acc,avg_semantic_sim,adv_training,acc_improvement_on_adv_train,acc_adv_training_on_orig,orig_acc_vs_adv,avg_running_time(s)
0,indobert-emotion-codemixing-en-adv-0.2.csv,indobert,emotion,codemixing,en,0.2,0.7242424242424242,0.6303030303030304,0.09393939393939389,0.9515780992580183,0.6977272727272728,0.06742424242424237,0.7189393939393939,-0.005303030303030267,0.4362490151515151
1,indobert-emotion-codemixing-en-adv-0.4.csv,indobert,emotion,codemixing,en,0.4,0.7242424242424242,0.6287878787878788,0.09545454545454542,0.9444974385427707,0.6924242424242424,0.0636363636363636,0.7007575757575758,-0.02348484848484847,0.42876431818181815
2,indobert-emotion-codemixing-en-adv-0.6.csv,indobert,emotion,codemixing,en,0.6,0.7242424242424242,0.6265151515151515,0.0977272727272727,0.9360401648463625,0.6772727272727272,0.050757575757575696,0.7015151515151515,-0.022727272727272697,0.24182340909090905
3,indobert-emotion-codemixing-en-adv-0.8.csv,indobert,emotion,codemixing,en,0.8,0.7242424242424242,0.6234848484848485,0.1007575757575757,0.9284450793808157,0.6772727272727272,0.05378787878787874,0.6909090909090909,-0.0333333333333333,0.24619196969696966
4,indobert-emotion-codemixing-fr-adv-0.2.csv,indobert,emotion,codemixing,fr,0.2,0.7242424242424242,0.6204545454545455,0.10378787878787876,0.9478345581527913,0.6946969696969697,0.07424242424242417,0.706060606060606,-0.0181818181818181,0.44779825757575753
5,indobert-emotion-codemixing-fr-adv-0.4.csv,indobert,emotion,codemixing,fr,0.4,0.7242424242424242,0.6007575757575758,0.12348484848484843,0.936038339228341,0.6931818181818182,0.09242424242424234,0.6924242424242424,-0.031818181818181766,0.4383851515151515
6,indobert-emotion-codemixing-fr-adv-0.6.csv,indobert,emotion,codemixing,fr,0.6,0.7242424242424242,0.5909090909090909,0.13333333333333328,0.9237288207944596,0.6818181818181818,0.09090909090909087,0.6787878787878788,-0.045454545454545435,0.25898143939393936
7,indobert-emotion-codemixing-fr-adv-0.8.csv,indobert,emotion,codemixing,fr,0.8,0.7242424242424242,0.5848484848484848,0.13939393939393938,0.912726580125816,0.6674242424242424,0.08257575757575751,0.6659090909090909,-0.058333333333333265,0.2609167424242424
8,indobert-emotion-codemixing-it-adv-0.2.csv,indobert,emotion,codemixing,it,0.2,0.7242424242424242,0.6121212121212122,0.11212121212121207,0.9482471105727281,0.6893939393939394,0.07727272727272717,0.7022727272727273,-0.021969696969696934,0.4410914393939393
9,indobert-emotion-codemixing-it-adv-0.4.csv,indobert,emotion,codemixing,it,0.4,0.7242424242424242,0.5954545454545456,0.12878787878787873,0.9366134074262599,0.6757575757575758,0.08030303030303027,0.6901515151515151,-0.03409090909090903,0.42784181818181816
